n_homologs,mode,p,K,n_proteins,mean_drafter_accuracy,mean_mean_k,median_mean_k,mean_acceptance_rate
4,prefix,1,1,118,0.9456,1.9374,1.9606,0.9399
4,prefix,1,2,118,0.9456,2.8188,2.8854,0.9146
4,prefix,1,4,118,0.9456,4.4622,4.6297,0.8739
4,prefix,1,8,118,0.9456,7.3274,7.6406,0.8046
4,prefix,1,12,118,0.9456,9.8241,10.2472,0.754
4,prefix,1,16,118,0.9456,12.0433,12.7462,0.7128
4,prefix,12,1,118,0.9511,1.9417,1.9697,0.9445
4,prefix,12,2,118,0.9511,2.8307,2.904,0.9206
4,prefix,12,4,118,0.9511,4.509,4.7134,0.8851
4,prefix,12,8,118,0.9511,7.4801,7.9795,0.8244
4,prefix,12,12,118,0.9511,10.1274,10.7889,0.7815
4,prefix,12,16,118,0.9511,12.5678,13.5228,0.7466
4,prefix,16,1,118,0.9516,1.9423,1.9729,0.945
4,prefix,16,2,118,0.9516,2.8312,2.9005,0.9207
4,prefix,16,4,118,0.9516,4.5148,4.715,0.8864
4,prefix,16,8,118,0.9516,7.4911,7.9795,0.8257
4,prefix,16,12,118,0.9516,10.1582,10.8572,0.7839
4,prefix,16,16,118,0.9516,12.6017,13.503,0.7491
4,prefix,2,1,118,0.948,1.939,1.9626,0.9414
4,prefix,2,2,118,0.948,2.8238,2.8854,0.917
4,prefix,2,4,118,0.948,4.4838,4.6813,0.8791
4,prefix,2,8,118,0.948,7.3978,7.7596,0.8136
4,prefix,2,12,118,0.948,9.962,10.4505,0.7659
4,prefix,2,16,118,0.948,12.2315,12.8896,0.7246
4,prefix,4,1,118,0.9497,1.9402,1.968,0.9429
4,prefix,4,2,118,0.9497,2.8279,2.8979,0.919
4,prefix,4,4,118,0.9497,4.4979,4.7016,0.8823
4,prefix,4,8,118,0.9497,7.4399,7.8802,0.8192
4,prefix,4,12,118,0.9497,10.07,10.6224,0.7753
4,prefix,4,16,118,0.9497,12.3929,13.0469,0.7353
4,prefix,8,1,118,0.9508,1.9407,1.9705,0.9438
4,prefix,8,2,118,0.9508,2.8296,2.907,0.9198
4,prefix,8,4,118,0.9508,4.507,4.7142,0.8846
4,prefix,8,8,118,0.9508,7.473,7.9458,0.8231
4,prefix,8,12,118,0.9508,10.1018,10.7889,0.7789
4,prefix,8,16,118,0.9508,12.5032,13.4575,0.7426
4,static,,1,118,0.9201,1.9004,1.9517,0.903
4,static,,2,118,0.9201,2.7241,2.8495,0.8672
4,static,,4,118,0.9201,4.2352,4.5202,0.8166
4,static,,8,118,0.9201,6.7793,7.3174,0.7362
4,static,,12,118,0.9201,8.9673,9.6784,0.6822
4,static,,16,118,0.9201,10.8139,11.3665,0.6359
8,prefix,1,1,118,0.9499,1.9418,1.9651,0.9444
8,prefix,1,2,118,0.9499,2.8323,2.8962,0.9212
8,prefix,1,4,118,0.9499,4.5058,4.686,0.8852
8,prefix,1,8,118,0.9499,7.4496,7.9146,0.8191
8,prefix,1,12,118,0.9499,10.0436,10.5372,0.7731
8,prefix,1,16,118,0.9499,12.3474,13.3484,0.7307
8,prefix,12,1,118,0.9545,1.9455,1.9735,0.9486
8,prefix,12,2,118,0.9545,2.8459,2.9167,0.928
8,prefix,12,4,118,0.9545,4.5472,4.7205,0.8949
8,prefix,12,8,118,0.9545,7.5883,8.0328,0.8382
8,prefix,12,12,118,0.9545,10.3183,10.9826,0.797
8,prefix,12,16,118,0.9545,12.8052,13.7238,0.7613
8,prefix,16,1,118,0.9553,1.9464,1.9746,0.9495
8,prefix,16,2,118,0.9553,2.8464,2.9167,0.9283
8,prefix,16,4,118,0.9553,4.5557,4.753,0.8969
8,prefix,16,8,118,0.9553,7.6065,8.0509,0.8406
8,prefix,16,12,118,0.9553,10.3523,11.0485,0.8001
8,prefix,16,16,118,0.9553,12.8641,14.0,0.7658
8,prefix,2,1,118,0.9523,1.9432,1.9653,0.9459
8,prefix,2,2,118,0.9523,2.8398,2.8908,0.9246
8,prefix,2,4,118,0.9523,4.5286,4.7108,0.8902
8,prefix,2,8,118,0.9523,7.5339,7.9146,0.8292
