drafter,tau,n,accept,mean_k,tok_per_step,speedup
cnn,0.3,12,0.20204333585231216,1.388768255989154,1.2915229536712132,1.0947853167376251
cnn,0.4,12,0.2214915260565757,1.1597350945170948,1.2624041972835,1.0861000656577946
cnn,0.5,12,0.23171593961908657,1.0914518344757524,1.2571354970947894,1.1306752962519695
cnn,0.6,12,0.23334174412089329,1.0576417037238084,1.2495592332404917,1.0953817261449463
cnn,0.7,12,0.23187425074486134,1.0349421615545387,1.2415490901101376,1.0548605891001221
hmm,0.3,12,0.4407697984233088,1.4849226993276343,1.677422138812022,1.4617393235978942
hmm,0.4,12,0.4402063562950653,1.1631625550667957,1.5110372363722535,1.3415233666922355
hmm,0.5,12,0.48273545330388795,1.0758959512143391,1.5129217463460847,1.35581567462025
hmm,0.6,12,0.44791433550493975,1.032024808604123,1.4569468182818632,1.27844721785926
hmm,0.7,12,0.4445436953284528,1.010289006407638,1.4447804286562915,1.2937852280241378
pa_hmm,0.3,12,0.4261651416786039,1.3437880404246914,1.6333325212360454,1.3237797759372134
pa_hmm,0.4,12,0.4489753984478751,1.1085540506073912,1.5121775255394316,1.198071409765012
pa_hmm,0.5,12,0.43864333125997296,1.0414412522222718,1.4593796721536245,1.15608033996908
pa_hmm,0.6,12,0.4379173267590979,1.0143152653194432,1.4443211837400483,1.1497133148584122
pa_hmm,0.7,12,0.42760429204932104,1.0009732988051148,1.4264097551110455,1.136684533947514
