protein_id,length,n_homologs,mode,n_homologs_used,n_homologs_avail,p,K,drafter_accuracy,mean_accepted,mean_tokens_per_step,acceptance_rate,n_steps,ref_source
A0A0K1IRS6,855,4,static,4,64,,1,0.9357,0.9323,1.93,0.9323,443,query_3di
A0A0K1IRS6,855,4,static,4,64,,2,0.9357,1.7702,2.767,0.8851,309,query_3di
A0A0K1IRS6,855,4,static,4,64,,4,0.9357,3.1756,4.1707,0.7939,205,query_3di
A0A0K1IRS6,855,4,static,4,64,,8,0.9357,5.4848,6.4773,0.6856,132,query_3di
A0A0K1IRS6,855,4,static,4,64,,12,0.9357,7.0755,8.066,0.5901,106,query_3di
A0A0K1IRS6,855,4,static,4,64,,16,0.9357,8.4066,9.3956,0.5298,91,query_3di
A0A0K1IRS6,855,4,prefix,4,64,1,1,0.9497,0.9499,1.9476,0.9499,439,query_3di
A0A0K1IRS6,855,4,prefix,4,64,1,2,0.9497,1.8158,2.8125,0.9079,304,query_3di
A0A0K1IRS6,855,4,prefix,4,64,1,4,0.9497,3.3452,4.3401,0.8374,197,query_3di
A0A0K1IRS6,855,4,prefix,4,64,1,8,0.9497,5.7937,6.7857,0.7285,126,query_3di
A0A0K1IRS6,855,4,prefix,4,64,1,12,0.9497,7.7347,8.7245,0.649,98,query_3di
A0A0K1IRS6,855,4,prefix,4,64,1,16,0.9497,9.1905,10.1786,0.58,84,query_3di
A0A0K1IRS6,855,4,prefix,4,64,2,1,0.9591,0.9633,1.961,0.9633,436,query_3di
A0A0K1IRS6,855,4,prefix,4,64,2,2,0.9591,1.8405,2.8405,0.9203,301,query_3di
A0A0K1IRS6,855,4,prefix,4,64,2,4,0.9591,3.4583,4.4531,0.8668,192,query_3di
A0A0K1IRS6,855,4,prefix,4,64,2,8,0.9591,6.1333,7.125,0.7683,120,query_3di
A0A0K1IRS6,855,4,prefix,4,64,2,12,0.9591,8.5111,9.5,0.7112,90,query_3di
A0A0K1IRS6,855,4,prefix,4,64,2,16,0.9591,9.9744,10.9615,0.6305,78,query_3di
A0A0K1IRS6,855,4,prefix,4,64,4,1,0.9602,0.9633,1.961,0.9633,436,query_3di
A0A0K1IRS6,855,4,prefix,4,64,4,2,0.9602,1.8405,2.8405,0.9203,301,query_3di
A0A0K1IRS6,855,4,prefix,4,64,4,4,0.9602,3.4817,4.4764,0.8727,191,query_3di
A0A0K1IRS6,855,4,prefix,4,64,4,8,0.9602,6.1933,7.1849,0.7758,119,query_3di
A0A0K1IRS6,855,4,prefix,4,64,4,12,0.9602,8.618,9.6067,0.7202,89,query_3di
A0A0K1IRS6,855,4,prefix,4,64,4,16,0.9602,9.9744,10.9615,0.6305,78,query_3di
A0A0K1IRS6,855,4,prefix,4,64,8,1,0.9602,0.9588,1.9565,0.9588,437,query_3di
A0A0K1IRS6,855,4,prefix,4,64,8,2,0.9602,1.8311,2.8311,0.9156,302,query_3di
A0A0K1IRS6,855,4,prefix,4,64,8,4,0.9602,3.5053,4.5,0.8786,190,query_3di
A0A0K1IRS6,855,4,prefix,4,64,8,8,0.9602,6.1333,7.125,0.7683,120,query_3di
A0A0K1IRS6,855,4,prefix,4,64,8,12,0.9602,8.7273,9.7159,0.7293,88,query_3di
A0A0K1IRS6,855,4,prefix,4,64,8,16,0.9602,10.1169,11.1039,0.6396,77,query_3di
A0A0K1IRS6,855,4,prefix,4,64,12,1,0.9614,0.9543,1.9521,0.9543,438,query_3di
A0A0K1IRS6,855,4,prefix,4,64,12,2,0.9614,1.85,2.85,0.925,300,query_3di
A0A0K1IRS6,855,4,prefix,4,64,12,4,0.9614,3.4817,4.4764,0.8727,191,query_3di
A0A0K1IRS6,855,4,prefix,4,64,12,8,0.9614,6.1933,7.1849,0.7758,119,query_3di
A0A0K1IRS6,855,4,prefix,4,64,12,12,0.9614,8.618,9.6067,0.7202,89,query_3di
A0A0K1IRS6,855,4,prefix,4,64,12,16,0.9614,10.4133,11.4,0.6585,75,query_3di
A0A0K1IRS6,855,4,prefix,4,64,16,1,0.9626,0.9588,1.9565,0.9588,437,query_3di
A0A0K1IRS6,855,4,prefix,4,64,16,2,0.9626,1.85,2.85,0.925,300,query_3di
A0A0K1IRS6,855,4,prefix,4,64,16,4,0.9626,3.4817,4.4764,0.8727,191,query_3di
A0A0K1IRS6,855,4,prefix,4,64,16,8,0.9626,6.3162,7.3077,0.7912,117,query_3di
A0A0K1IRS6,855,4,prefix,4,64,16,12,0.9626,8.618,9.6067,0.7202,89,query_3di
A0A0K1IRS6,855,4,prefix,4,64,16,16,0.9626,10.5676,11.5541,0.6684,74,query_3di
A0A0K1IRS6,855,8,static,8,64,,1,0.8503,0.8488,1.8467,0.8488,463,query_3di
A0A0K1IRS6,855,8,static,8,64,,2,0.8503,1.5073,2.5073,0.7537,341,query_3di
A0A0K1IRS6,855,8,static,8,64,,4,0.8503,2.5331,3.5331,0.6333,242,query_3di
A0A0K1IRS6,855,8,static,8,64,,8,0.8503,3.6776,4.6721,0.4613,183,query_3di
A0A0K1IRS6,855,8,static,8,64,,12,0.8503,4.35,5.3438,0.3629,160,query_3di
A0A0K1IRS6,855,8,static,8,64,,16,0.8503,4.745,5.7383,0.2977,149,query_3di
A0A0K1IRS6,855,8,prefix,8,64,1,1,0.9041,0.9085,1.9085,0.9085,448,query_3di
A0A0K1IRS6,855,8,prefix,8,64,1,2,0.9041,1.6834,2.6803,0.8417,319,query_3di
A0A0K1IRS6,855,8,prefix,8,64,1,4,0.9041,2.9266,3.922,0.7333,218,query_3di
A0A0K1IRS6,855,8,prefix,8,64,1,8,0.9041,4.7838,5.777,0.601,148,query_3di
A0A0K1IRS6,855,8,prefix,8,64,1,12,0.9041,5.9032,6.8952,0.4956,124,query_3di
A0A0K1IRS6,855,8,prefix,8,64,1,16,0.9041,6.7818,7.7727,0.426,110,query_3di
A0A0K1IRS6,855,8,prefix,8,64,2,1,0.938,0.9367,1.9344,0.9367,442,query_3di
A0A0K1IRS6,855,8,prefix,8,64,2,2,0.938,1.8125,2.8125,0.9062,304,query_3di
A0A0K1IRS6,855,8,prefix,8,64,2,4,0.938,3.2587,4.2537,0.8167,201,query_3di
A0A0K1IRS6,855,8,prefix,8,64,2,8,0.938,5.6875,6.6797,0.7123,128,query_3di
A0A0K1IRS6,855,8,prefix,8,64,2,12,0.938,7.56,8.55,0.6316,100,query_3di
A0A0K1IRS6,855,8,prefix,8,64,2,16,0.938,8.9535,9.9419,0.5653,86,query_3di
A0A0K1IRS6,855,8,prefix,8,64,4,1,0.9439,0.9323,1.93,0.9323,443,query_3di
A0A0K1IRS6,855,8,prefix,8,64,4,2,0.9439,1.8125,2.8125,0.9062,304,query_3di
A0A0K1IRS6,855,8,prefix,8,64,4,4,0.9439,3.3452,4.3401,0.8384,197,query_3di
A0A0K1IRS6,855,8,prefix,8,64,4,8,0.9439,5.7937,6.7857,0.7256,126,query_3di
A0A0K1IRS6,855,8,prefix,8,64,4,12,0.9439,7.8247,8.8144,0.6537,97,query_3di
A0A0K1IRS6,855,8,prefix,8,64,4,16,0.9439,9.1905,10.1786,0.5805,84,query_3di
A0A0K1IRS6,855,8,prefix,8,64,8,1,0.9532,0.9455,1.9432,0.9455,440,query_3di
A0A0K1IRS6,855,8,prefix,8,64,8,2,0.9532,1.8311,2.8311,0.9156,302,query_3di
A0A0K1IRS6,855,8,prefix,8,64,8,4,0.9532,3.3897,4.3846,0.8496,195,query_3di
A0A0K1IRS6,855,8,prefix,8,64,8,8,0.9532,6.0744,7.0661,0.7609,121,query_3di
A0A0K1IRS6,855,8,prefix,8,64,8,12,0.9532,8.2043,9.1935,0.6855,93,query_3di
A0A0K1IRS6,855,8,prefix,8,64,8,16,0.9532,9.8354,10.8228,0.6216,79,query_3di
A0A0K1IRS6,855,8,prefix,8,64,12,1,0.9544,0.941,1.9388,0.941,441,query_3di
A0A0K1IRS6,855,8,prefix,8,64,12,2,0.9544,1.8405,2.8405,0.9203,301,query_3di
A0A0K1IRS6,855,8,prefix,8,64,12,4,0.9544,3.4124,4.4072,0.8553,194,query_3di
A0A0K1IRS6,855,8,prefix,8,64,12,8,0.9544,6.1333,7.125,0.7683,120,query_3di
A0A0K1IRS6,855,8,prefix,8,64,12,12,0.9544,8.1064,9.0957,0.6773,94,query_3di
A0A0K1IRS6,855,8,prefix,8,64,12,16,0.9544,9.8354,10.8228,0.6216,79,query_3di
A0A0K1IRS6,855,8,prefix,8,64,16,1,0.9556,0.941,1.9388,0.941,441,query_3di
A0A0K1IRS6,855,8,prefix,8,64,16,2,0.9556,1.8405,2.8405,0.9203,301,query_3di
A0A0K1IRS6,855,8,prefix,8,64,16,4,0.9556,3.4124,4.4072,0.8553,194,query_3di
A0A0K1IRS6,855,8,prefix,8,64,16,8,0.9556,6.2542,7.2458,0.7834,118,query_3di
A0A0K1IRS6,855,8,prefix,8,64,16,12,0.9556,8.2043,9.1935,0.6855,93,query_3di
A0A0K1IRS6,855,8,prefix,8,64,16,16,0.9556,10.1169,11.1039,0.6396,77,query_3di
A0A0K1IRS6,855,16,static,16,64,,1,0.2456,0.2317,1.2302,0.2317,695,query_3di
A0A0K1IRS6,855,16,static,16,64,,2,0.2456,0.2742,1.2742,0.1371,671,query_3di
A0A0K1IRS6,855,16,static,16,64,,4,0.2456,0.2955,1.2955,0.0739,660,query_3di
A0A0K1IRS6,855,16,static,16,64,,8,0.2456,0.3089,1.3073,0.0386,654,query_3di
A0A0K1IRS6,855,16,static,16,64,,12,0.2456,0.3149,1.3134,0.0262,651,query_3di
A0A0K1IRS6,855,16,static,16,64,,16,0.2456,0.3169,1.3154,0.0198,650,query_3di
A0A0K1IRS6,855,16,prefix,16,64,1,1,0.8117,0.8609,1.8587,0.8609,460,query_3di
