protein_id,length,encdec_vs_enccnn_identity,encdec_seq_recovery_vs_AFDB,enccnn_seq_recovery_vs_AFDB
P01542,46,0.391304347826087,0.32608695652173914,0.2391304347826087
P0A7N4,57,0.2807017543859649,0.45614035087719296,0.21052631578947367
P02798,61,0.19672131147540983,0.7540983606557377,0.21311475409836064
P61583,75,0.5333333333333333,0.18666666666666668,0.2
P24311,80,0.4625,0.1125,0.1125
P0A7U3,92,0.34782608695652173,0.7391304347826086,0.33695652173913043
P63165,101,0.18811881188118812,0.45544554455445546,0.18811881188118812
P10599,105,0.4857142857142857,0.5523809523809524,0.4095238095238095
P01308,110,0.2545454545454545,0.15454545454545454,0.17272727272727273
P61769,119,0.3445378151260504,0.31092436974789917,0.31092436974789917
P37840,140,0.32142857142857145,0.12857142857142856,0.15
Q57733,147,0.3197278911564626,0.32653061224489793,0.24489795918367346
P68871,147,0.2857142857142857,0.782312925170068,0.272108843537415
P00698,147,0.29931972789115646,0.6190476190476191,0.25170068027210885
P61626,148,0.31756756756756754,0.6824324324324325,0.24324324324324326
P0DP27,149,0.40939597315436244,0.9463087248322147,0.4161073825503356
P16949,149,0.22818791946308725,0.7718120805369127,0.20134228187919462
P68082,154,0.33766233766233766,0.4090909090909091,0.2532467532467532
P00441,154,0.33116883116883117,0.6883116883116883,0.3181818181818182
P0A7Y4,155,0.3548387096774194,0.6258064516129033,0.33548387096774196
Q9R0Q7,160,0.2625,0.79375,0.23125
P18253,162,0.4506172839506173,0.7283950617283951,0.43209876543209874
A0A6G0XC32,163,0.44171779141104295,0.31901840490797545,0.2822085889570552
P62937,165,0.44242424242424244,0.8727272727272727,0.4666666666666667
P04808,185,0.22162162162162163,0.13513513513513514,0.1891891891891892
P43408,192,0.3854166666666667,0.4322916666666667,0.3020833333333333
P0ACJ8,210,0.4523809523809524,0.3142857142857143,0.3333333333333333
P69441,214,0.40654205607476634,0.6869158878504673,0.3411214953271028
P01375,233,0.3261802575107296,0.33905579399141633,0.22317596566523606
P0A7L0,234,0.2905982905982906,0.594017094017094,0.2692307692307692
P42212,238,0.3907563025210084,0.1722689075630252,0.18907563025210083
P63101,245,0.2938775510204082,0.926530612244898,0.2938775510204082
P00766,245,0.3551020408163265,0.5224489795918368,0.2979591836734694
P15378,248,0.4435483870967742,0.3629032258064516,0.3387096774193548
P00918,260,0.3076923076923077,0.5576923076923077,0.3
P62593,286,0.26573426573426573,0.7867132867132867,0.2692307692307692
