protein_id,length,drafter,K,wall_s,speedup,draft_acceptance_rate,mean_tps,n_steps,step_first_token_rate
P05089,322,enc_dec,0,14.391137947000061,1.0,,1.0,322,
P05089,322,flexprofile,1,9.632451830000718,1.4940264639765126,0.5679611650485437,1.5679611650485437,206,0.5679611650485437
P05089,322,flexprofile,2,7.855350349000219,1.832017326742362,0.46987951807228917,1.9397590361445782,166,0.5783132530120482
P05089,322,flexprofile,4,6.8557036649999645,2.0991481910850847,0.31130434782608696,2.2430555555555554,144,0.5416666666666666
P05089,322,flexprofile,8,6.238962598999933,2.3066555887523466,0.18260038240917784,2.446969696969697,132,0.5378787878787878
P04406,335,enc_dec,0,14.951633118000245,1.0,,1.0,335,
P04406,335,flexprofile,1,9.628302425999209,1.5528836191961004,0.6551724137931034,1.6551724137931034,203,0.6551724137931034
P04406,335,flexprofile,2,7.703809937999722,1.9408102274499266,0.5386996904024769,2.074074074074074,162,0.6604938271604939
P04406,335,flexprofile,4,6.452896384999804,2.3170421816715256,0.3743016759776536,2.488888888888889,135,0.6222222222222222
P04406,335,flexprofile,8,5.628850844000226,2.656249655990999,0.23265741728922093,2.847457627118644,118,0.635593220338983
P07688,335,enc_dec,0,15.079051165000237,1.0,,1.0,335,
P07688,335,flexprofile,1,10.20636313200066,1.477416683100558,0.5555555555555556,1.5555555555555556,216,0.5555555555555556
P07688,335,flexprofile,2,9.248827721999987,1.6303743153450705,0.4081081081081081,1.8162162162162163,185,0.518918918918919
P07688,335,flexprofile,4,7.55874449500061,1.9949147871016932,0.2800632911392405,2.1202531645569622,158,0.5316455696202531
P07688,335,flexprofile,8,7.281098063999707,2.070985864008114,0.14987714987714987,2.196078431372549,153,0.5294117647058824
P00784,345,enc_dec,0,15.38704556599987,1.0,,1.0,345,
P00784,345,flexprofile,1,10.510451038999236,1.4639757617352418,0.5515695067264574,1.5515695067264574,223,0.5515695067264574
P00784,345,flexprofile,2,8.76327584899991,1.7558554393510142,0.4465753424657534,1.8907103825136613,183,0.5409836065573771
P00784,345,flexprofile,4,7.420723436000117,2.073523652876319,0.3142389525368249,2.2467532467532467,154,0.5
P00784,345,flexprofile,8,6.901515620000282,2.2295168790763733,0.1802841918294849,2.4195804195804196,143,0.5034965034965035
P0A988,366,enc_dec,0,16.54842263699993,1.0,,1.0,366,
P0A988,366,flexprofile,1,10.199548073000187,1.622466262089221,0.6912442396313364,1.6912442396313363,217,0.6912442396313364
P0A988,366,flexprofile,2,8.158301424000456,2.0284152027426985,0.5685131195335277,2.133720930232558,172,0.6802325581395349
P0A988,366,flexprofile,4,6.680227443999684,2.477224432210622,0.4068100358422939,2.6214285714285714,140,0.6428571428571429
P0A988,366,flexprofile,8,5.915186078999795,2.7976165780735878,0.24520686175580222,2.9596774193548385,124,0.6290322580645161
P02572,376,enc_dec,0,16.792631512999833,1.0,,1.0,376,
P02572,376,flexprofile,1,10.721557651000694,1.5662492391142901,0.6607929515418502,1.6607929515418502,227,0.6607929515418502
P02572,376,flexprofile,2,8.555851156999779,1.9627072987660983,0.5429362880886426,2.0828729281767955,181,0.6519337016574586
P02572,376,flexprofile,4,7.051037696000094,2.3815830005455707,0.38023450586264657,2.513333333333333,150,0.6333333333333333
P02572,376,flexprofile,8,6.321343469000567,2.656497245458935,0.2348993288590604,2.856060606060606,132,0.6287878787878788
P14598,390,enc_dec,0,17.771164570999645,1.0,,1.0,390,
P14598,390,flexprofile,1,12.58925698800067,1.4116134564524387,0.5038461538461538,1.5038461538461538,260,0.5038461538461538
P14598,390,flexprofile,2,10.235323531000176,1.7362582156954134,0.4018475750577367,1.8018433179723503,217,0.4838709677419355
P14598,390,flexprofile,4,9.170167887000389,1.937932302874412,0.26587301587301587,2.057894736842105,190,0.45789473684210524
P14598,390,flexprofile,8,8.296348198000487,2.1420466145915493,0.1564083997103548,2.2342857142857144,175,0.41714285714285715
P04637,393,enc_dec,0,18.0867463780005,1.0,,1.0,393,
P04637,393,flexprofile,1,11.671934865999901,1.5495928126438407,0.5910931174089069,1.591093117408907,247,0.5910931174089069
P04637,393,flexprofile,2,9.90258573600022,1.8264670319639127,0.45169082125603865,1.9033816425120773,207,0.5410628019323671
P04637,393,flexprofile,4,8.330977394999536,2.171023341013579,0.31654676258992803,2.264367816091954,174,0.5344827586206896
P04637,393,flexprofile,8,7.601500298999781,2.379365344546574,0.18474842767295596,2.4779874213836477,159,0.5220125786163522
P0AEX9,396,enc_dec,0,17.953015289000177,1.0,,1.0,396,
P0AEX9,396,flexprofile,1,11.975616224000078,1.4991308132454113,0.5816733067729084,1.5816733067729083,251,0.5816733067729084
P0AEX9,396,flexprofile,2,9.851776722000068,1.822312441258355,0.45652173913043476,1.9130434782608696,207,0.5700483091787439
P0AEX9,396,flexprofile,4,8.141721334999602,2.205063837277729,0.33431516936671574,2.335294117647059,170,0.5764705882352941
P0AEX9,396,flexprofile,8,7.738204392000625,2.320049249094418,0.18509803921568627,2.4658385093167703,161,0.5652173913043478
P0A953,406,enc_dec,0,18.24634767399948,1.0,,1.0,406,
P0A953,406,flexprofile,1,12.0680491789999,1.5119550312863066,0.596078431372549,1.5960784313725491,255,0.596078431372549
P0A953,406,flexprofile,2,9.967702085999917,1.8305470525275118,0.47596153846153844,1.9519230769230769,208,0.5721153846153846
P0A953,406,flexprofile,4,8.285719360999792,2.2021440600418543,0.33190271816881256,2.3257142857142856,175,0.5657142857142857
P0A953,406,flexprofile,8,7.680791674999455,2.375581638724862,0.1943351691581432,2.54375,160,0.53125
P0DTC9,419,enc_dec,0,18.808036712000103,1.0,,1.0,419,
P0DTC9,419,flexprofile,1,16.30644440300057,1.1534112677892683,0.22157434402332363,1.2215743440233235,343,0.22157434402332363
P0DTC9,419,flexprofile,2,15.135633376000442,1.2426329473481266,0.15492957746478875,1.309375,320,0.21875
P0DTC9,419,flexprofile,4,14.841697030999967,1.2672430027857065,0.0861513687600644,1.3429487179487178,312,0.20833333333333334
P0DTC9,419,flexprofile,8,14.756126948000201,1.274591685086379,0.04432696217974787,1.3516129032258064,310,0.2032258064516129
P0ABH7,427,enc_dec,0,19.39448702199843,1.0,,1.0,427,
P0ABH7,427,flexprofile,1,12.1199062579999,1.6002175766992297,0.6653696498054474,1.6653696498054475,257,0.6653696498054474
P0ABH7,427,flexprofile,2,10.113589029999275,1.9176661187704815,0.5301204819277109,2.0576923076923075,208,0.6201923076923077
P0ABH7,427,flexprofile,4,8.032656974999554,2.4144547790800575,0.38980509745127434,2.5476190476190474,168,0.6071428571428571
P0ABH7,427,flexprofile,8,7.344109646999641,2.6408220947411705,0.24013722126929676,2.891891891891892,148,0.5878378378378378
P06280,429,enc_dec,0,19.63794409500042,1.0,,1.0,429,
P06280,429,flexprofile,1,13.325461950998942,1.47371582067579,0.5693430656934306,1.5693430656934306,274,0.5693430656934306
P06280,429,flexprofile,2,10.969347683998421,1.7902563270601175,0.45657015590200445,1.9111111111111112,225,0.5644444444444444
P06280,429,flexprofile,4,9.719104353000148,2.02055080198192,0.28660826032540676,2.1393034825870645,201,0.5223880597014925
