id,length,hf_ok,hf_matches_ref,custom_matches_ref,hf_matches_custom,t_hf,t_custom,draft_acceptance_rate
P01542,46,True,True,True,True,1.982573069999944,1.816767658000117,0.01282051282051282
P0A7N4,57,True,True,True,True,2.4873668389996055,2.2817162229998758,0.010075566750629723
P02798,61,True,True,True,True,2.6920259819999046,2.490002255000036,0.006880733944954128
P61583,75,True,True,True,True,3.063876261000132,3.0133201789999475,0.015533980582524271
P24311,80,True,True,True,True,3.470323917999849,3.2837131090000184,0.008695652173913044
P0A7U3,92,True,True,True,True,4.0220713740000065,3.8131400510001185,0.005917159763313609
P63165,101,True,True,True,True,4.456810986999699,4.33655090000002,0.0053475935828877
P10599,105,True,True,True,True,4.584153142999639,4.3593704520003485,0.006476683937823835
P01308,110,True,True,True,True,4.785244358,4.477376577000086,0.008760951188986232
P61769,119,True,True,True,True,5.280832439000278,4.893225383000299,0.003333333333333333
P37840,140,True,True,True,True,6.344727958000021,5.991730424000252,0.001858736059479554
Q57733,147,True,True,True,True,5.990222309999808,5.690749244000017,0.016585365853658537
P68871,147,True,True,True,True,6.507522409000103,6.248580939000021,0.0035714285714285713
P00698,147,True,True,True,True,6.184062594999887,5.8461615829996845,0.013513513513513513
P61626,148,True,True,True,True,6.496336517000145,6.090135457000088,0.00929368029739777
P0DP27,149,True,True,True,True,6.755008651000026,6.376843418000135,0.004448398576512456
P16949,149,True,True,True,True,6.973985047000042,6.502749586999926,0.0
P68082,154,True,True,True,True,7.049510479000219,6.619191477000186,0.0025423728813559325
P00441,154,True,True,True,True,7.0257549190000645,6.62359890100015,0.0025423728813559325
P0A7Y4,155,True,True,True,True,6.741157101000226,6.516703495999991,0.008748906386701663
Q9R0Q7,160,True,True,True,True,7.344340984000155,6.916032617000383,0.0016181229773462784
P18253,162,True,True,True,True,7.367261788000178,6.9632008589996985,0.004071661237785016
A0A6G0XC32,163,True,False,False,True,7.287272382000083,6.912859837999804,0.005737704918032787
P62937,165,True,False,False,True,7.530231083000217,7.118389187000048,0.003174603174603174
P04808,185,True,True,True,True,8.275258554000175,7.788557188000141,0.004270462633451957
